"TypeCompte";"Inventaire";"Debut";"Fin";"Change"
"trésorerie";"1 MI 146, B2, R24";25/3/1363 00:00:00;16/11/1364 00:00:00;
"trésorerie";"1 MI 146, B2, R25";24/6/1364 00:00:00;24/6/1364 00:00:00;
"trésorerie";"1 MI 146, B3, R31";25/7/1371 00:00:00;15/2/1376 00:00:00;
"trésorerie";"1 MI 146, B3, R32";25/7/1371 00:00:00;15/2/1376 00:00:00;
"trésorerie";"1 MI 146, B3, R33";1/9/1375 00:00:00;8/8/1377 00:00:00;
"trésorerie";"1 MI 146, r. 28";16/11/1363 00:00:00;24/3/1364 00:00:00;
"trésorerie";"1 MI 146, r. 29";24/5/1368 00:00:00;22/11/1369 00:00:00;
"trésorerie";"1 MI 146, r. 30";22/11/1369 00:00:00;25/7/1371 00:00:00;
"trésorerie";"1 MI 146, r. 4, R36";29/3/1385 00:00:00;25/9/1385 00:00:00;
"trésorerie";"1 MI 146, r. 4, R37";23/2/1386 00:00:00;25/5/1389 00:00:00;
"trésorerie";"1MI 90, r. 4, R38";25/7/1390 00:00:00;24/12/1391 00:00:00;
"trésorerie";"1MI 90, r. 5, R37 (269)";25/3/1389 00:00:00;23/7/1389 00:00:00;
"trésorerie";"1MI146, B1";13/6/1351 00:00:00;19/2/1353 00:00:00;
"trésorerie";"1MI146, B2, R. 20";1/1/1357 00:00:00;1/1/1358 00:00:00;
"trésorerie";"1MI146, B2, R. 21";1/8/1358 00:00:00;1/8/1359 00:00:00;
"trésorerie";"1MI146, B2, R. 22";1/8/1359 00:00:00;14/11/1359 00:00:00;
"trésorerie";"1MI146, B2, R. 23";14/11/1360 00:00:00;25/3/1363 00:00:00;
"trésorerie";"1MI146, B2, R17";27/12/1352 00:00:00;30/6/1353 00:00:00;
"trésorerie";"1MI146, B2, R18";30/6/1353 00:00:00;19/7/1354 00:00:00;
"trésorerie";"1MI146, B2, R19";28/2/1355 00:00:00;16/5/1355 00:00:00;
"Hôtel du comte";"1MI29, r.5, 67";1/11/1372 00:00:00;3/8/1376 00:00:00;
"Hôtel du comte";"1MI29, r.5, 68";1/1/1375 00:00:00;31/12/1375 00:00:00;
"Hôtel du comte";"1MI29, r.6, r.7, 69";15/2/1376 00:00:00;3/3/1390 00:00:00;
"Hôtel du comte";"1MI29, r.7, 70";1/2/1381 00:00:00;1/5/1382 00:00:00;
"Hôtel du comte";"1MI29, R4,55.1";1/9/1350 00:00:00;23/3/1351 00:00:00;
"Hôtel du comte";"1MI29, R4,55.2";1/9/1350 00:00:00;23/4/1351 00:00:00;
"Hôtel du comte";"1MI29, R4,56";23/4/1351 00:00:00;1/1/1352 00:00:00;
"Hôtel du comte";"1MI29, R4,57.26";1/12/1350 00:00:00;25/4/1351 00:00:00;
"Hôtel du comte";"1MI29, R4,58";28/4/1351 00:00:00;28/4/1352 00:00:00;
"Hôtel du comte";"1MI29, R4,60";22/7/1352 00:00:00;29/3/1353 00:00:00;
"Hôtel du comte";"1MI29, R4,61";29/3/1353 00:00:00;1/1/1355 00:00:00;
"Hôtel du comte";"1MI29, R4et R5,62";16/4/1357 00:00:00;19/3/1361 00:00:00;
"Hôtel du comte";"1MI29, R5,63";19/3/1361 00:00:00;7/2/1365 00:00:00;
"Hôtel du comte";"1MI29, R5,64";11/11/1365 00:00:00;29/3/1366 00:00:00;
"Hôtel du comte";"1MI29, R5,65";25/12/1365 00:00:00;12/6/1366 00:00:00;
"Hôtel du comte";"1MI29, R5,66";22/1/1368 00:00:00;2/7/1369 00:00:00;
"Hôtel du comte";"1MI29, R5,70";1/1/1369 00:00:00;10/7/1369 00:00:00;
"hôtel de la comtesse";"1MI33,  r.4, 25";13/9/1368 00:00:00;14/7/1370 00:00:00;
"hôtel de la comtesse";"1MI33,  r.5, 26";14/7/1370 00:00:00;12/12/1370 00:00:00;
"hôtel de la comtesse";"1MI33, r. 11 et r. 12, 33";20/8/1379 00:00:00;2/12/1380 00:00:00;
"hôtel de la comtesse";"1MI33, r. 11, 32";23/1/1378 00:00:00;27/8/1378 00:00:00;
"hôtel de la comtesse";"1MI33, r. 3 et r.4, 24";16/9/1367 00:00:00;13/9/1368 00:00:00;
"hôtel de la comtesse";"1MI33, r. 3, 22";8/12/1366 00:00:00;18/10/1366 00:00:00;
"hôtel de la comtesse";"1MI33, r. 3, 23";18/10/1366 00:00:00;16/9/1367 00:00:00;
"hôtel de la comtesse";"1MI33, r. 6 et r.7, 27";12/12/1370 00:00:00;14/10/1272 00:00:00;
"hôtel de la comtesse";"1MI33, r. 7 et r.8, 28";14/10/1372 00:00:00;21/11/1374 00:00:00;
"hôtel de la comtesse";"1MI33, r. 9, 31";20/6/1377 00:00:00;23/1/1378 00:00:00;
"hôtel de la comtesse";"1MI33, r.12 et r.13, 34";2/12/1380 00:00:00;28/8/1381 00:00:00;
"hôtel de la comtesse";"1MI33, r.8 et r. 9, 30";10/11/1374 00:00:00;24/6/1377 00:00:00;
"hôtel de la comtesse";"1MI33, r.8, 29";19/11/1374 00:00:00;10/11/1375 00:00:00;
"hôtel de la comtesse";"1MI33, R2,16";1/3/1356 00:00:00;1/4/1357 00:00:00;
"hôtel de la comtesse";"1MI33, R2,17";9/4/1357 00:00:00;24/12/1357 00:00:00;
"hôtel de la comtesse";"1MI33, R2,18";1/12/1359 00:00:00;20/1/1363 00:00:00;
"hôtel de la comtesse";"1MI33, R2,21";15/12/1364 00:00:00;8/2/1366 00:00:00;
"trésorerie";"1MI90, r. 4, 35";8/8/1382 00:00:00;1/12/1385 00:00:00;
"trésorerie";"1MI90,r. 3,34";8/8/1377 00:00:00;8/8/1382 00:00:00;
"trésorerie";"7 MI 3,  r. 11 et r. 12, R50";28/10/1404 00:00:00;24/6/1406 00:00:00;
"trésorerie";"7 MI 3,  r. 11, R49";8/11/1403 00:00:00;28/11/1404 00:00:00;
"trésorerie";"7 MI 3,  r. 11, R49 bis";8/12/1401 00:00:00;1/12/1402 00:00:00;
"trésorerie";"7 MI 3,  r. 11, R49 ter";1/12/1402 00:00:00;17/11/1403 00:00:00;
"trésorerie";"7 MI 3,  r. 13, R52";28/10/1404 00:00:00;24/6/1406 00:00:00;
"trésorerie";"7 MI 3,  r. 14, R53";24/6/1406 00:00:00;24/6/1407 00:00:00;
"trésorerie";"7 MI 3,  r. 15 et r. 16, R55";24/6/1407 00:00:00;24/6/1410 00:00:00;
"trésorerie";"7 MI 3,  r. 16 et r. 17, R56";24/6/1410 00:00:00;10/11/1411 00:00:00;
"trésorerie";"7 MI 3,  r. 17 et r. 18, R57";10/11/1411 00:00:00;10/11/1412 00:00:00;
"trésorerie";"7 MI 3,  r. 18 et r. 19, R59";10/11/1412 00:00:00;10/11/1413 00:00:00;
"trésorerie";"7 MI 3,  r. 20, R60";10/11/1413 00:00:00;10/11/1414 00:00:00;
"trésorerie";"7 MI 3,  r. 21, r. 22, R61";10/11/1414 00:00:00;10/11/1416 00:00:00;
"trésorerie";"7 MI 3,  r. 23, R62";10/11/1416 00:00:00;27/2/1417 00:00:00;
"trésorerie";"7 MI 3,  r. 23, R63";27/2/1417 00:00:00;3/8/1417 00:00:00;
"trésorerie";"7 MI 3,  r. 24, R64";3/8/1417 00:00:00;22/10/1418 00:00:00;
"trésorerie";"7 MI 3,  r. 25 et r. 26, R65";22/10/1418 00:00:00;22/10/1419 00:00:00;
"trésorerie";"7 MI 3,  r. 26 et r. 27, R66";22/10/1419 00:00:00;22/10/1421 00:00:00;
"trésorerie";"7 MI 3,  r. 29 et r. 30, R68";2/12/1421 00:00:00;11/7/1423 00:00:00;
"trésorerie";"7 MI 3,  r. 31 et r. 32, R69";15/7/1423 00:00:00;15/7/1424 00:00:00;
"trésorerie";"7 MI 3, r. 10 et r. 11, R48";1/9/1402 00:00:00;8/11/1403 00:00:00;
"trésorerie";"7 MI 3, r. 32, R70";15/7/1424 00:00:00;15/7/1425 00:00:00;
"trésorerie";"7 MI 3, r. 33 et 34, R71";15/7/1425 00:00:00;8/1/1427 00:00:00;
"trésorerie";"7 MI 3, r. 35, R72";1/1/1427 00:00:00;1/1/1428 00:00:00;
"trésorerie";"7 MI 3, r. 36, R73";1/1/1328 00:00:00;1/1/1429 00:00:00;
"trésorerie";"7 MI 3, r. 36, R74";1/1/1429 00:00:00;1/1/1430 00:00:00;
"trésorerie";"7 MI 3, r. 4, r. 5, R39";24/12/1391 00:00:00;24/12/1392 00:00:00;
"trésorerie";"7 MI 3, r. 4, r. 5, R40";24/12/1392 00:00:00;2/9/1394 00:00:00;
"trésorerie";"7 MI 3, r. 6 et r. 7, R43";16/5/1398 00:00:00;1/9/1400 00:00:00;
"trésorerie";"7 MI 3, r. 6, R42";28/4/1396 00:00:00;16/5/1398 00:00:00;
"trésorerie";"7 MI 3, r. 9 et r. 10, R46";19/3/1401 00:00:00;1/9/1402 00:00:00;
"trésorerie";"7 MI 3, r. 9, R45";1/9/1400 00:00:00;21/12/1401 00:00:00;
"compte de voyage";"AST, inv38,m 4,24";5/7/1389 00:00:00;7/11/1391 00:00:00;
"compte de voyage";"AST, inv38,m1,12.1";8/11/1354 00:00:00;26/5/1356 00:00:00;
"compte de voyage";"AST, inv38,m1,12.2";1/5/1356 00:00:00;30/5/1356 00:00:00;
"compte de voyage";"AST, inv38,m1,13";26/5/1356 00:00:00;3/7/1357 00:00:00;
"compte de voyage";"AST, inv38,m2,14";3/7/1357 00:00:00;18/8/1358 00:00:00;
"compte de voyage";"AST, inv38,m2,15";6/5/1361 00:00:00;4/7/1361 00:00:00;
"compte de voyage";"AST, inv38,m2,16 (1)";6/2/1367 00:00:00;31/1/1368 00:00:00;
"compte de voyage";"AST, inv38,m2,16 (2)";31/1/1368 00:00:00;12/5/1368 00:00:00;
"compte de voyage";"AST, inv38,m2,17 (1)";11/2/1371 00:00:00;4/3/1371 00:00:00;
"compte de voyage";"AST, inv38,m2,17 (2)";1/8/1376 00:00:00;30/9/1376 00:00:00;
"compte de voyage";"AST, inv38,m2,17 (3)";30/9/1379 00:00:00;24/11/1379 00:00:00;
"compte de voyage";"AST, inv38,m2,19 (1)";18/1/1378 00:00:00;16/1/1380 00:00:00;
"compte de voyage";"AST, inv38,m2,19 (2)";24/1/1380 00:00:00;18/3/1380 00:00:00;
"compte de voyage";"AST, inv38,m2,19 (3)";3/3/1380 00:00:00;1/1/1381 00:00:00;
"compte de voyage";"AST, inv38,m3,20 (1)";18/10/1378 00:00:00;22/3/1383 00:00:00;
"compte de voyage";"AST, inv38,m3,20 (2)";1/3/1383 00:00:00;22/3/1383 00:00:00;
"compte de voyage";"AST, inv38,m3,21";23/3/1383 00:00:00;30/3/1383 00:00:00;
"compte de voyage";"AST, inv38,m3,22";17/8/1383 00:00:00;15/7/1389 00:00:00;
"compte de voyage";"AST, inv38,m3,23";2/5/1386 00:00:00;1/6/1386 00:00:00;
"Nul";"nul";1/1/2002 00:00:00;2/1/2002 00:00:00;
