"Nom";"type"
"Florentin";2
"florin d'or";2
"Florin gros";2
"florin reg.";2
"Genevois blanc";1
"genevois vieux";1
"gros curs";1
"ambros.";3
"asten.";1
"Ducat";2
"ducat de Genes";2
"florin b. p. orangie";2
"Florin de Genes";2
"florin d'or b. p.";2
"florin d'or b. p. vet.";2
"fort";1
"fort esc.";1
"genevois";1
"Gros";1
"gros de genes";1
"monnaie nouvelle du comte";1
"viennois";1
"viennois aug.";1
"agnillis";1
"Ascen.";1
"Bonne Monnaie";1
"écus";2
"Florin d'or petit poids";2
"Florin duc. au.";2
"franc or";2
"franc or reg";2
"g. t. p. p.";1
"gênois d'or";2
"Gros tournois";1
"impériale";1
"inconnue";1
"lausanois";1
"maurissien";1
"monete";1
"monnoie vieille";1
"Parisis";1
"petit tournois";1
"viennois esc.";1
"viennois esp.";1
"r";1
